<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;25.09.2018;11:07:00;114660.0000000;114690.0000000;114630.0000000;114650.0000000;292
SPFB.RTS-12.18;1;25.09.2018;11:08:00;114650.0000000;114660.0000000;114370.0000000;114470.0000000;2624
SPFB.RTS-12.18;1;25.09.2018;11:09:00;114470.0000000;114500.0000000;114430.0000000;114460.0000000;527
SPFB.RTS-12.18;1;25.09.2018;11:10:00;114450.0000000;114490.0000000;114360.0000000;114400.0000000;611
SPFB.RTS-12.18;1;25.09.2018;11:11:00;114380.0000000;114390.0000000;114290.0000000;114310.0000000;1776
SPFB.RTS-12.18;1;25.09.2018;11:12:00;114310.0000000;114340.0000000;114280.0000000;114320.0000000;1045
SPFB.RTS-12.18;1;25.09.2018;11:13:00;114310.0000000;114340.0000000;114280.0000000;114320.0000000;582
SPFB.RTS-12.18;1;25.09.2018;11:14:00;114330.0000000;114330.0000000;114260.0000000;114280.0000000;576
SPFB.RTS-12.18;1;25.09.2018;11:15:00;114290.0000000;114330.0000000;114250.0000000;114260.0000000;462
SPFB.RTS-12.18;1;25.09.2018;11:16:00;114250.0000000;114350.0000000;114220.0000000;114290.0000000;1580
SPFB.RTS-12.18;1;25.09.2018;11:17:00;114290.0000000;114340.0000000;114270.0000000;114330.0000000;447
SPFB.RTS-12.18;1;25.09.2018;11:18:00;114310.0000000;114340.0000000;114250.0000000;114310.0000000;483
SPFB.RTS-12.18;1;25.09.2018;11:19:00;114310.0000000;114320.0000000;114280.0000000;114300.0000000;370
SPFB.RTS-12.18;1;25.09.2018;11:20:00;114300.0000000;114350.0000000;114280.0000000;114350.0000000;393
SPFB.RTS-12.18;1;25.09.2018;11:21:00;114340.0000000;114390.0000000;114300.0000000;114380.0000000;371
SPFB.RTS-12.18;1;25.09.2018;11:22:00;114380.0000000;114410.0000000;114340.0000000;114370.0000000;591
SPFB.RTS-12.18;1;25.09.2018;11:23:00;114360.0000000;114470.0000000;114360.0000000;114450.0000000;416
SPFB.RTS-12.18;1;25.09.2018;11:24:00;114440.0000000;114470.0000000;114390.0000000;114430.0000000;801
SPFB.RTS-12.18;1;25.09.2018;11:25:00;114420.0000000;114470.0000000;114410.0000000;114470.0000000;422
SPFB.RTS-12.18;1;25.09.2018;11:26:00;114470.0000000;114480.0000000;114400.0000000;114470.0000000;457
SPFB.RTS-12.18;1;25.09.2018;11:27:00;114470.0000000;114480.0000000;114420.0000000;114470.0000000;226
SPFB.RTS-12.18;1;25.09.2018;11:28:00;114470.0000000;114490.0000000;114450.0000000;114490.0000000;394
SPFB.RTS-12.18;1;25.09.2018;11:29:00;114490.0000000;114580.0000000;114480.0000000;114560.0000000;687
SPFB.RTS-12.18;1;25.09.2018;11:30:00;114570.0000000;114700.0000000;114570.0000000;114680.0000000;1728
SPFB.RTS-12.18;1;25.09.2018;11:31:00;114670.0000000;114680.0000000;114600.0000000;114610.0000000;691
SPFB.RTS-12.18;1;25.09.2018;11:32:00;114600.0000000;114660.0000000;114570.0000000;114620.0000000;600
SPFB.RTS-12.18;1;25.09.2018;11:33:00;114620.0000000;114640.0000000;114600.0000000;114620.0000000;315
SPFB.RTS-12.18;1;25.09.2018;11:34:00;114620.0000000;114640.0000000;114580.0000000;114640.0000000;232
SPFB.RTS-12.18;1;25.09.2018;11:35:00;114630.0000000;114640.0000000;114560.0000000;114560.0000000;222
SPFB.RTS-12.18;1;25.09.2018;11:36:00;114570.0000000;114580.0000000;114530.0000000;114530.0000000;437
SPFB.RTS-12.18;1;25.09.2018;11:37:00;114540.0000000;114580.0000000;114530.0000000;114560.0000000;201
SPFB.RTS-12.18;1;25.09.2018;11:38:00;114570.0000000;114670.0000000;114570.0000000;114660.0000000;432
SPFB.RTS-12.18;1;25.09.2018;11:39:00;114660.0000000;114780.0000000;114650.0000000;114770.0000000;1137
SPFB.RTS-12.18;1;25.09.2018;11:40:00;114760.0000000;114800.0000000;114700.0000000;114700.0000000;880
SPFB.RTS-12.18;1;25.09.2018;11:41:00;114700.0000000;114760.0000000;114700.0000000;114750.0000000;362
SPFB.RTS-12.18;1;25.09.2018;11:42:00;114750.0000000;114750.0000000;114710.0000000;114720.0000000;136
SPFB.RTS-12.18;1;25.09.2018;11:43:00;114710.0000000;114720.0000000;114670.0000000;114720.0000000;479
SPFB.RTS-12.18;1;25.09.2018;11:44:00;114720.0000000;114770.0000000;114700.0000000;114760.0000000;234
SPFB.RTS-12.18;1;25.09.2018;11:45:00;114760.0000000;114780.0000000;114710.0000000;114750.0000000;334
SPFB.RTS-12.18;1;25.09.2018;11:46:00;114750.0000000;114750.0000000;114680.0000000;114720.0000000;299
SPFB.RTS-12.18;1;25.09.2018;11:47:00;114710.0000000;114740.0000000;114680.0000000;114710.0000000;315
SPFB.RTS-12.18;1;25.09.2018;11:48:00;114700.0000000;114710.0000000;114680.0000000;114690.0000000;128
SPFB.RTS-12.18;1;25.09.2018;11:49:00;114710.0000000;114720.0000000;114680.0000000;114710.0000000;198
SPFB.RTS-12.18;1;25.09.2018;11:50:00;114700.0000000;114760.0000000;114700.0000000;114750.0000000;271
SPFB.RTS-12.18;1;25.09.2018;11:51:00;114750.0000000;114840.0000000;114740.0000000;114810.0000000;836
SPFB.RTS-12.18;1;25.09.2018;11:52:00;114800.0000000;114830.0000000;114750.0000000;114790.0000000;584
SPFB.RTS-12.18;1;25.09.2018;11:53:00;114790.0000000;114840.0000000;114760.0000000;114770.0000000;399
SPFB.RTS-12.18;1;25.09.2018;11:54:00;114780.0000000;114810.0000000;114740.0000000;114800.0000000;412
SPFB.RTS-12.18;1;25.09.2018;11:55:00;114800.0000000;114920.0000000;114800.0000000;114920.0000000;1181
SPFB.RTS-12.18;1;25.09.2018;11:56:00;114900.0000000;114970.0000000;114870.0000000;114880.0000000;941
SPFB.RTS-12.18;1;25.09.2018;11:57:00;114890.0000000;114920.0000000;114880.0000000;114880.0000000;302
SPFB.RTS-12.18;1;25.09.2018;11:58:00;114900.0000000;114950.0000000;114880.0000000;114890.0000000;421
SPFB.RTS-12.18;1;25.09.2018;11:59:00;114900.0000000;114910.0000000;114870.0000000;114890.0000000;321
SPFB.RTS-12.18;1;25.09.2018;12:00:00;114890.0000000;114910.0000000;114830.0000000;114840.0000000;362
SPFB.RTS-12.18;1;25.09.2018;12:01:00;114840.0000000;114890.0000000;114830.0000000;114850.0000000;478
SPFB.RTS-12.18;1;25.09.2018;12:02:00;114860.0000000;114890.0000000;114850.0000000;114870.0000000;86
SPFB.RTS-12.18;1;25.09.2018;12:03:00;114870.0000000;114890.0000000;114820.0000000;114820.0000000;245
SPFB.RTS-12.18;1;25.09.2018;12:04:00;114820.0000000;114850.0000000;114780.0000000;114800.0000000;514
SPFB.RTS-12.18;1;25.09.2018;12:05:00;114810.0000000;114880.0000000;114780.0000000;114850.0000000;293
SPFB.RTS-12.18;1;25.09.2018;12:06:00;114870.0000000;114870.0000000;114820.0000000;114850.0000000;118
SPFB.RTS-12.18;1;25.09.2018;12:07:00;114840.0000000;114860.0000000;114780.0000000;114800.0000000;443
SPFB.RTS-12.18;1;25.09.2018;12:08:00;114800.0000000;114800.0000000;114640.0000000;114690.0000000;1385
SPFB.RTS-12.18;1;25.09.2018;12:09:00;114690.0000000;114790.0000000;114690.0000000;114740.0000000;384
SPFB.RTS-12.18;1;25.09.2018;12:10:00;114740.0000000;114790.0000000;114740.0000000;114740.0000000;202
SPFB.RTS-12.18;1;25.09.2018;12:11:00;114740.0000000;114750.0000000;114700.0000000;114730.0000000;242
SPFB.RTS-12.18;1;25.09.2018;12:12:00;114730.0000000;114810.0000000;114710.0000000;114780.0000000;331
SPFB.RTS-12.18;1;25.09.2018;12:13:00;114780.0000000;114860.0000000;114780.0000000;114860.0000000;238
SPFB.RTS-12.18;1;25.09.2018;12:14:00;114860.0000000;114960.0000000;114860.0000000;114960.0000000;979
SPFB.RTS-12.18;1;25.09.2018;12:15:00;114950.0000000;115060.0000000;114930.0000000;115050.0000000;1429
SPFB.RTS-12.18;1;25.09.2018;12:16:00;115050.0000000;115210.0000000;115050.0000000;115100.0000000;3522
SPFB.RTS-12.18;1;25.09.2018;12:17:00;115120.0000000;115210.0000000;115080.0000000;115210.0000000;855
SPFB.RTS-12.18;1;25.09.2018;12:18:00;115190.0000000;115200.0000000;115120.0000000;115120.0000000;377
SPFB.RTS-12.18;1;25.09.2018;12:19:00;115130.0000000;115240.0000000;115130.0000000;115200.0000000;1184
SPFB.RTS-12.18;1;25.09.2018;12:20:00;115200.0000000;115220.0000000;115160.0000000;115190.0000000;306
SPFB.RTS-12.18;1;25.09.2018;12:21:00;115190.0000000;115190.0000000;115120.0000000;115140.0000000;481
SPFB.RTS-12.18;1;25.09.2018;12:22:00;115150.0000000;115160.0000000;115100.0000000;115140.0000000;730
SPFB.RTS-12.18;1;25.09.2018;12:23:00;115150.0000000;115160.0000000;115100.0000000;115110.0000000;277
SPFB.RTS-12.18;1;25.09.2018;12:24:00;115110.0000000;115150.0000000;115110.0000000;115140.0000000;292
SPFB.RTS-12.18;1;25.09.2018;12:25:00;115130.0000000;115170.0000000;115100.0000000;115140.0000000;247
SPFB.RTS-12.18;1;25.09.2018;12:26:00;115160.0000000;115200.0000000;115150.0000000;115170.0000000;443
SPFB.RTS-12.18;1;25.09.2018;12:27:00;115170.0000000;115230.0000000;115160.0000000;115180.0000000;735
SPFB.RTS-12.18;1;25.09.2018;12:28:00;115200.0000000;115280.0000000;115190.0000000;115210.0000000;639
SPFB.RTS-12.18;1;25.09.2018;12:29:00;115200.0000000;115250.0000000;115190.0000000;115200.0000000;276
SPFB.RTS-12.18;1;25.09.2018;12:30:00;115200.0000000;115210.0000000;115160.0000000;115180.0000000;391
SPFB.RTS-12.18;1;25.09.2018;12:31:00;115170.0000000;115240.0000000;115100.0000000;115130.0000000;897
SPFB.RTS-12.18;1;25.09.2018;12:32:00;115140.0000000;115150.0000000;115100.0000000;115140.0000000;287
SPFB.RTS-12.18;1;25.09.2018;12:33:00;115140.0000000;115170.0000000;115100.0000000;115110.0000000;441
SPFB.RTS-12.18;1;25.09.2018;12:34:00;115110.0000000;115130.0000000;115060.0000000;115130.0000000;439
SPFB.RTS-12.18;1;25.09.2018;12:35:00;115130.0000000;115130.0000000;115060.0000000;115090.0000000;185
SPFB.RTS-12.18;1;25.09.2018;12:36:00;115080.0000000;115090.0000000;114910.0000000;114950.0000000;1468
SPFB.RTS-12.18;1;25.09.2018;12:37:00;114940.0000000;115030.0000000;114900.0000000;115000.0000000;695
SPFB.RTS-12.18;1;25.09.2018;12:38:00;115020.0000000;115050.0000000;115000.0000000;115040.0000000;359
SPFB.RTS-12.18;1;25.09.2018;12:39:00;115020.0000000;115030.0000000;114990.0000000;115020.0000000;389
SPFB.RTS-12.18;1;25.09.2018;12:40:00;115020.0000000;115050.0000000;115000.0000000;115030.0000000;458
SPFB.RTS-12.18;1;25.09.2018;12:41:00;115040.0000000;115040.0000000;114970.0000000;114980.0000000;263
SPFB.RTS-12.18;1;25.09.2018;12:42:00;114990.0000000;115010.0000000;114940.0000000;114970.0000000;115
SPFB.RTS-12.18;1;25.09.2018;12:43:00;114960.0000000;115020.0000000;114950.0000000;115010.0000000;154
SPFB.RTS-12.18;1;25.09.2018;12:44:00;115020.0000000;115030.0000000;114980.0000000;115000.0000000;255
SPFB.RTS-12.18;1;25.09.2018;12:45:00;114990.0000000;115030.0000000;114980.0000000;115030.0000000;249
SPFB.RTS-12.18;1;25.09.2018;12:46:00;115030.0000000;115030.0000000;114930.0000000;114980.0000000;411
SPFB.RTS-12.18;1;25.09.2018;12:47:00;114980.0000000;115000.0000000;114920.0000000;114930.0000000;345
SPFB.RTS-12.18;1;25.09.2018;12:48:00;114920.0000000;114990.0000000;114910.0000000;114960.0000000;278
SPFB.RTS-12.18;1;25.09.2018;12:49:00;114980.0000000;114990.0000000;114920.0000000;114940.0000000;365
SPFB.RTS-12.18;1;25.09.2018;12:50:00;114950.0000000;115020.0000000;114950.0000000;115000.0000000;326
SPFB.RTS-12.18;1;25.09.2018;12:51:00;115010.0000000;115030.0000000;114960.0000000;115000.0000000;195
SPFB.RTS-12.18;1;25.09.2018;12:52:00;115020.0000000;115020.0000000;114970.0000000;114970.0000000;246
SPFB.RTS-12.18;1;25.09.2018;12:53:00;114990.0000000;115020.0000000;114970.0000000;115010.0000000;191
SPFB.RTS-12.18;1;25.09.2018;12:54:00;115010.0000000;115030.0000000;114960.0000000;115000.0000000;265
SPFB.RTS-12.18;1;25.09.2018;12:55:00;115000.0000000;115020.0000000;114930.0000000;114980.0000000;389
SPFB.RTS-12.18;1;25.09.2018;12:56:00;114990.0000000;115000.0000000;114930.0000000;114940.0000000;287
SPFB.RTS-12.18;1;25.09.2018;12:57:00;114940.0000000;115000.0000000;114910.0000000;114980.0000000;426
SPFB.RTS-12.18;1;25.09.2018;12:58:00;114980.0000000;114990.0000000;114900.0000000;114920.0000000;433
SPFB.RTS-12.18;1;25.09.2018;12:59:00;114930.0000000;114950.0000000;114850.0000000;114950.0000000;852
SPFB.RTS-12.18;1;25.09.2018;13:00:00;114950.0000000;114980.0000000;114920.0000000;114980.0000000;321
SPFB.RTS-12.18;1;25.09.2018;13:01:00;114970.0000000;114970.0000000;114910.0000000;114930.0000000;272
SPFB.RTS-12.18;1;25.09.2018;13:02:00;114910.0000000;114960.0000000;114890.0000000;114960.0000000;219
SPFB.RTS-12.18;1;25.09.2018;13:03:00;114940.0000000;115000.0000000;114900.0000000;115000.0000000;362
SPFB.RTS-12.18;1;25.09.2018;13:04:00;114990.0000000;115030.0000000;114950.0000000;114990.0000000;488
SPFB.RTS-12.18;1;25.09.2018;13:05:00;114990.0000000;115050.0000000;114990.0000000;115020.0000000;448
SPFB.RTS-12.18;1;25.09.2018;13:06:00;115020.0000000;115020.0000000;114930.0000000;114950.0000000;505
SPFB.RTS-12.18;1;25.09.2018;13:07:00;114960.0000000;115010.0000000;114950.0000000;114960.0000000;448
SPFB.RTS-12.18;1;25.09.2018;13:08:00;114960.0000000;114960.0000000;114900.0000000;114910.0000000;251
SPFB.RTS-12.18;1;25.09.2018;13:09:00;114900.0000000;114930.0000000;114890.0000000;114920.0000000;319
SPFB.RTS-12.18;1;25.09.2018;13:10:00;114930.0000000;114970.0000000;114890.0000000;114890.0000000;296
SPFB.RTS-12.18;1;25.09.2018;13:11:00;114900.0000000;114910.0000000;114860.0000000;114910.0000000;244
SPFB.RTS-12.18;1;25.09.2018;13:12:00;114900.0000000;114950.0000000;114890.0000000;114950.0000000;168
SPFB.RTS-12.18;1;25.09.2018;13:13:00;114940.0000000;114970.0000000;114900.0000000;114900.0000000;141
SPFB.RTS-12.18;1;25.09.2018;13:14:00;114900.0000000;114940.0000000;114880.0000000;114910.0000000;196
SPFB.RTS-12.18;1;25.09.2018;13:15:00;114930.0000000;114940.0000000;114840.0000000;114850.0000000;407
SPFB.RTS-12.18;1;25.09.2018;13:16:00;114850.0000000;114870.0000000;114820.0000000;114840.0000000;563
SPFB.RTS-12.18;1;25.09.2018;13:17:00;114840.0000000;114870.0000000;114820.0000000;114830.0000000;285
SPFB.RTS-12.18;1;25.09.2018;13:18:00;114840.0000000;114890.0000000;114830.0000000;114880.0000000;192
SPFB.RTS-12.18;1;25.09.2018;13:19:00;114860.0000000;114900.0000000;114820.0000000;114870.0000000;103
SPFB.RTS-12.18;1;25.09.2018;13:20:00;114890.0000000;114900.0000000;114850.0000000;114870.0000000;154
SPFB.RTS-12.18;1;25.09.2018;13:21:00;114860.0000000;114900.0000000;114830.0000000;114840.0000000;248
SPFB.RTS-12.18;1;25.09.2018;13:22:00;114850.0000000;114870.0000000;114830.0000000;114830.0000000;166
SPFB.RTS-12.18;1;25.09.2018;13:23:00;114820.0000000;114860.0000000;114810.0000000;114850.0000000;239
SPFB.RTS-12.18;1;25.09.2018;13:24:00;114850.0000000;114850.0000000;114780.0000000;114800.0000000;293
SPFB.RTS-12.18;1;25.09.2018;13:25:00;114790.0000000;114810.0000000;114760.0000000;114770.0000000;247
SPFB.RTS-12.18;1;25.09.2018;13:26:00;114790.0000000;114800.0000000;114720.0000000;114750.0000000;635
SPFB.RTS-12.18;1;25.09.2018;13:27:00;114750.0000000;114760.0000000;114730.0000000;114750.0000000;168
SPFB.RTS-12.18;1;25.09.2018;13:28:00;114740.0000000;114800.0000000;114740.0000000;114790.0000000;446
SPFB.RTS-12.18;1;25.09.2018;13:29:00;114790.0000000;114860.0000000;114770.0000000;114850.0000000;478
SPFB.RTS-12.18;1;25.09.2018;13:30:00;114850.0000000;114880.0000000;114790.0000000;114870.0000000;533
SPFB.RTS-12.18;1;25.09.2018;13:31:00;114850.0000000;114880.0000000;114830.0000000;114880.0000000;328
SPFB.RTS-12.18;1;25.09.2018;13:32:00;114880.0000000;114920.0000000;114870.0000000;114900.0000000;598
SPFB.RTS-12.18;1;25.09.2018;13:33:00;114910.0000000;114980.0000000;114900.0000000;114970.0000000;621
SPFB.RTS-12.18;1;25.09.2018;13:34:00;114960.0000000;114990.0000000;114900.0000000;114920.0000000;592
SPFB.RTS-12.18;1;25.09.2018;13:35:00;114920.0000000;114960.0000000;114920.0000000;114950.0000000;211
SPFB.RTS-12.18;1;25.09.2018;13:36:00;114950.0000000;114990.0000000;114930.0000000;114980.0000000;291
SPFB.RTS-12.18;1;25.09.2018;13:37:00;114970.0000000;115030.0000000;114970.0000000;115030.0000000;604
SPFB.RTS-12.18;1;25.09.2018;13:38:00;115040.0000000;115110.0000000;114990.0000000;115090.0000000;1351
