25.09 Open,25.09 Close,25.09 Low,25.09 High,25.10 Open,25.10 Close,25.10 Low,25.10 High,23.11 Open,23.11 Close,23.11 Low,23.11 High,04.12 Open,04.12 Close,04.12 Low,04.12 High
115350.000003,115740.000003,115320.000003,115540.000003,110990.0000000,111170.0000000,110970.0000000,111130.0000000,112530.0000000,112540.0000000,112440.0000000,112470.0000000,114980.0000000,115010.0000000,114940.0000000,114990.0000000
115350.0000031,115740.0000031,115320.0000031,115540.0000031,111120.0000000,111170.0000000,111080.0000000,111120.0000000,112470.0000000,112560.0000000,112470.0000000,112510.0000000,115000.0000000,115000.0000000,114980.0000000,114990.0000000
115350.0000032,115740.0000032,115320.0000032,115540.0000032,111110.0000000,111170.0000000,111080.0000000,111140.0000000,112520.0000000,112550.0000000,112500.0000000,112540.0000000,114990.0000000,115050.0000000,114990.0000000,115040.0000000
115350.0000033,115740.0000033,115320.0000033,115540.0000033,111140.0000000,111210.0000000,111140.0000000,111200.0000000,112540.0000000,112550.0000000,112520.0000000,112540.0000000,115040.0000000,115050.0000000,114940.0000000,114980.0000000
115350.0000034,115740.0000034,115320.0000034,115540.0000034,111200.0000000,111220.0000000,111150.0000000,111170.0000000,112540.0000000,112600.0000000,112540.0000000,112590.0000000,114980.0000000,114990.0000000,114880.0000000,114900.0000000
115350.0000035,115740.0000035,115320.0000035,115540.0000035,111180.0000000,111200.0000000,111130.0000000,111170.0000000,112590.0000000,112610.0000000,112570.0000000,112590.0000000,114900.0000000,114940.0000000,114870.0000000,114930.0000000
115350.0000036,115740.0000036,115320.0000036,115540.0000036,111180.0000000,111200.0000000,111140.0000000,111170.0000000,112590.0000000,112590.0000000,112520.0000000,112560.0000000,114930.0000000,114960.0000000,114920.0000000,114950.0000000
115350.0000037,115740.0000037,115320.0000037,115540.0000037,111160.0000000,111200.0000000,111120.0000000,111140.0000000,112550.0000000,112580.0000000,112540.0000000,112540.0000000,114950.0000000,114980.0000000,114930.0000000,114970.0000000
115350.0000038,115740.0000038,115320.0000038,115540.0000038,111140.0000000,111180.0000000,111120.0000000,111180.0000000,112550.0000000,112640.0000000,112540.0000000,112630.0000000,114970.0000000,114980.0000000,114930.0000000,114980.0000000
115350.0000039,115740.0000039,115320.0000039,115540.0000039,111170.0000000,111170.0000000,111090.0000000,111090.0000000,112630.0000000,112640.0000000,112600.0000000,112630.0000000,114980.0000000,114990.0000000,114940.0000000,114940.0000000
115350.000004,115740.000004,115320.000004,115540.000004,111090.0000000,111110.0000000,111060.0000000,111080.0000000,112630.0000000,112660.0000000,112600.0000000,112620.0000000,114940.0000000,114970.0000000,114900.0000000,114970.0000000
115350.0000041,115740.0000041,115320.0000041,115540.0000041,111070.0000000,111100.0000000,111050.0000000,111100.0000000,112620.0000000,112620.0000000,112550.0000000,112570.0000000,114960.0000000,114980.0000000,114930.0000000,114970.0000000
115350.0000042,115740.0000042,115320.0000042,115540.0000042,111090.0000000,111150.0000000,111060.0000000,111090.0000000,112560.0000000,112610.0000000,112540.0000000,112610.0000000,114970.0000000,115010.0000000,114940.0000000,114970.0000000
115350.0000043,115740.0000043,115320.0000043,115540.0000043,111080.0000000,111120.0000000,111020.0000000,111040.0000000,112610.0000000,112630.0000000,112580.0000000,112600.0000000,114970.0000000,115030.0000000,114940.0000000,114960.0000000
115350.0000044,115740.0000044,115320.0000044,115540.0000044,111030.0000000,111100.0000000,111020.0000000,111020.0000000,112600.0000000,112630.0000000,112570.0000000,112610.0000000,114960.0000000,115000.0000000,114940.0000000,114960.0000000
115350.0000045,115740.0000045,115320.0000045,115540.0000045,111020.0000000,111040.0000000,110870.0000000,110910.0000000,112600.0000000,112610.0000000,112580.0000000,112590.0000000,114950.0000000,114960.0000000,114900.0000000,114930.0000000
115350.0000046,115740.0000046,115320.0000046,115540.0000046,110900.0000000,110970.0000000,110880.0000000,110920.0000000,112590.0000000,112620.0000000,112570.0000000,112620.0000000,114940.0000000,114980.0000000,114920.0000000,114950.0000000
115350.0000047,115740.0000047,115320.0000047,115540.0000047,110930.0000000,110960.0000000,110870.0000000,110940.0000000,112620.0000000,112650.0000000,112620.0000000,112640.0000000,114940.0000000,114970.0000000,114910.0000000,114970.0000000
115350.0000048,115740.0000048,115320.0000048,115540.0000048,110940.0000000,111010.0000000,110930.0000000,110940.0000000,112630.0000000,112720.0000000,112630.0000000,112670.0000000,114970.0000000,115020.0000000,114960.0000000,115010.0000000
115350.0000049,115740.0000049,115320.0000049,115540.0000049,110930.0000000,110930.0000000,110870.0000000,110870.0000000,112650.0000000,112700.0000000,112640.0000000,112700.0000000,115010.0000000,115060.0000000,114970.0000000,115000.0000000
115350.000005,115740.000005,115320.000005,115540.000005,110890.0000000,110900.0000000,110850.0000000,110880.0000000,112700.0000000,112710.0000000,112640.0000000,112690.0000000,115010.0000000,115020.0000000,114960.0000000,114960.0000000
115350.0000051,115740.0000051,115320.0000051,115540.0000051,110880.0000000,110920.0000000,110850.0000000,110870.0000000,112690.0000000,112750.0000000,112690.0000000,112750.0000000,114970.0000000,115020.0000000,114970.0000000,115020.0000000
115350.0000052,115740.0000052,115320.0000052,115540.0000052,110870.0000000,111000.0000000,110870.0000000,110980.0000000,112750.0000000,112770.0000000,112730.0000000,112770.0000000,115010.0000000,115030.0000000,115000.0000000,115020.0000000
